tweet_id,arg_id,message
1,1-0,@ home ...
1,1-1,just chillin ...
1,1-2,I needed to
1,1-3,come home ...
2,2-0,its all fire and
2,2-1,"brimstone baby , so lets go outside ,"
2,2-2,whatcha know bout the ways on the underside ...???
2,2-3,<3
3,3-0,"if i know what love is ,"
3,3-1,it is because of you ....
4,4-0,Mexican food is good .
4,4-1,"\nMmm , chimichanga ."
5,5-0,"modern warfare 2 , I will have it soon !"
6,6-0,had a fun time at
6,6-1,"the corn maze tonight , and glad to not have spent his Sat ."
6,6-2,night at time .
7,7-0,So ...
7,7-1,who wants what for Xmas now that
7,7-2,Turkey day is over ?
8,8-0,is getting sick of
8,8-1,"explaining her hair ,"
8,8-2,"her summer , and her fear of driving over and over ."
8,8-3,"on the bright side , her love life has only been prodded at"
8,8-4,once in the two hours shes been there
9,9-0,"good night , i hate you all , especially you ."
10,10-0,Confront the dark parts of
10,10-1,"yourself , and work to banish them with illumination and forgiveness ."
10,10-2,Your willingness to wrestle with
10,10-3,your demons will cause your angels to
10,10-4,sing .
10,10-5,"Use the pain as fuel , as a reminder of your strength ."
10,10-6,_Ç¢__ÇÇ¢___
11,11-0,Remember to
11,11-1,VOTE .
11,11-2,06/08/2010
12,12-0,The Lord will conquer your enemies when
12,12-1,they attack you .
12,12-2,They will attack you from
12,12-3,"one direction , but they will scatter from you in seven !"
12,12-4,Deuteronomy 28:7
13,13-0,trying my best to
13,13-1,finish the book and
13,13-2,send it off to the publisher .
13,13-3,Wish me luck all .
14,14-0,O mi wrd !!!!
14,14-1,am sooooo tired from job-shadowin !
14,14-2,Da ANONYMIZED_NAME studio is kick-ass !
14,14-3,Luv da grafitti wall
15,15-0,every obsticle making possible possible even when
15,15-1,winning is ilogical losers still far from optional
16,16-0,thanks to everyone for the birthday wishes
17,17-0,"So , I should specify ,"
17,17-1,I am NOT alone .
17,17-2,ANONYMIZED_NAME did travel with me .
17,17-3,I was just so
17,17-4,absorbed in
17,17-5,"my own self pity , I forgot to"
17,17-6,mention he wasn't too thrilled either .
17,17-7,"But , the luggage has been found ,"
17,17-8,it is on
17,17-9,its way and I am going to
17,17-10,take a nice long bath and
17,17-11,drown my sorrows in it !
17,17-12,Ooh and they have some good smelling shampoo and stuff !
17,17-13,I am psyched !
18,18-0,what a great day i had today .
18,18-1,found out my raise took into effect for fridays paycheck .
18,18-2,won the check pool for $ANONYMIZED_AMOUNT .
18,18-3,had a great cake class and
18,18-4,made a wonderful cake .
18,18-5,and i think i am getting the hang of my new job at work .
18,18-6,not too shabby !
18,18-7,oh and josh is burning wood and
18,18-8,"dring beer friday night ,"
18,18-9,he said whoever wants to
18,18-10,stop by
18,18-11,is more than
18,18-12,welcome just bring your drinkage and
18,18-13,let me know if
18,18-14,you need directions !
